2008,4.0,collin,0.1268832097608839
2008,7.0,jack,0.08530377183234873
2008,8.0,collin,0.13153456815306938
2008,32.0,jack,0.08992426734715188
2008,55.0,jack again,0.08017334180079845
2008,125.0,collin,0.12671670496223203
2008,141.0,jack,0.09757114767933642
2008,145.0,jack again,0.06674227643086436
2008,149.0,jack,0.08658864462736236
2008,154.0,jack,0.07913728858099897
2009,4.0,collin,0.1461000410492784
2009,7.0,jack,0.11276873701030497
2009,8.0,collin,0.1471352319415503
2009,32.0,jack,0.14206907255646462
2009,55.0,jack again,0.08587185459415435
2009,125.0,jack again,0.10903269173550242
2009,141.0,jack,0.12673950045647958
2009,145.0,jack,0.11179625631806905
2009,149.0,collin,0.14651479497799802
2009,154.0,jack,0.10063535184290137
2010,4.0,collin,0.1544968956090328
2010,7.0,collin,0.15513177971437078
2010,8.0,collin,0.16240122551367472
2010,32.0,collin,0.15518537900011983
2010,55.0,jack again,0.09552399992168292
2010,125.0,jack,0.15155362185624463
2010,141.0,collin,0.15916576320713627
2010,145.0,jack,0.1172009612446004
2010,149.0,collin,0.1540507563543461
2010,154.0,jack,0.09477618501731878
2011,4.0,jack again,0.13105557252427644
2011,7.0,collin,0.15962788000665148
2011,8.0,collin,0.15795370879276144
2011,32.0,collin,0.15897098084423722
2011,55.0,jack,0.08109476465244704
2011,125.0,jack again,0.15428546856135014
2011,141.0,collin,0.15791569065696534
2011,145.0,jack again,0.09519180993358553
2011,149.0,jack,0.1448660171903641
2011,154.0,jack,0.11211063894365533
2012,4.0,collin,0.172704083706765
2012,7.0,collin,0.1733602600732048
2012,8.0,collin,0.17009714946663745
2012,32.0,collin,0.17664288215400073
2012,55.0,jack,0.09460009103682412
2012,125.0,jack,0.12005828422869322
2012,141.0,collin,0.17646309248217795
2012,145.0,jack,0.14150766766603315
2012,149.0,collin,0.17483205088213485
2012,154.0,jack,0.13702594141056818
2013,4.0,collin,0.23324637817643326
2013,7.0,collin,0.21961396043816378
2013,8.0,collin,0.2202022576234992
2013,32.0,collin,0.2203693946929464
2013,55.0,jack,0.13105608924975323
2013,125.0,jack,0.1818860048598051
2013,141.0,collin,0.22006790985265393
2013,145.0,jack again,0.209472516053147
2013,149.0,collin,0.21995156255821738
2013,154.0,collin,0.2296252752450205
